,fold_number,acc,sen,pre,f1,spe
0,1,0.7978560490045942,0.5618847539015607,0.6449659848255545,0.5717997562355704,0.859578583481484
1,2,0.8690658499234303,0.7191938178780284,0.7767005679939571,0.738307069772843,0.9068768998171507
2,3,0.8950995405819295,0.805271732142518,0.8092131260125819,0.7786642816312316,0.9292926821144061
3,4,0.9418070444104134,0.8794819315396023,0.8932346465529521,0.8848581972458323,0.9597877033360904
4,5,0.950920245398773,0.9087497891466855,0.9015299066132061,0.8989883603483716,0.9673938370939581
