,fold_number,acc,sen,pre,f1,spe
0,1,0.6393568147013783,0.25,,,0.75
1,2,0.5727411944869831,0.25,,,0.75
2,3,0.5765696784073506,0.1620871752123666,,,0.7331177526469117
3,4,0.6401225114854517,0.35343474773765926,0.4421446218412582,0.25232998961073094,0.7796698373311276
4,5,0.8358895705521472,0.7002159873402154,0.6913902742847224,0.6731521970897386,0.8932218469916633
