,fold_number,acc,sen,pre,f1,spe
0,1,0.8820826952526799,0.7548869547819128,0.7776143481977932,0.75691029290422,0.9187890359776435
1,2,0.8736600306278715,0.749169799498747,0.7693877576779575,0.7399231768427408,0.9145694984655459
2,3,0.8905053598774885,0.7777224377714037,0.7814664714939881,0.7691375101976368,0.92627100653814
3,4,0.88208269525268,0.753679141067159,0.7691232769418396,0.7460002588758021,0.9199545078577338
4,5,0.8811349693251533,0.7403063139961905,0.7697262069834049,0.7412897949660731,0.9188896683091103
