,loss,accuracy,val_loss,val_accuracy
0,0.6035832762718201,0.777479887008667,6.179939270019531,0.18223583698272705
1,0.24292033910751343,0.9191880226135254,1.573346495628357,0.586523711681366
2,0.17074187099933624,0.9471467137336731,0.9603528380393982,0.6952526569366455
3,0.11375384777784348,0.959785521030426,0.4769839644432068,0.8912710547447205
4,0.09548044204711914,0.9682114124298096,0.4552284777164459,0.9188361167907715
5,0.10186732560396194,0.9662964344024658,0.25087663531303406,0.93108731508255
6,0.08933252841234207,0.9728073477745056,0.3096405863761902,0.9111791849136353
7,0.09354592859745026,0.9735733270645142,0.3327285647392273,0.9127105474472046
8,0.06990832090377808,0.9789353013038635,0.21827557682991028,0.923430323600769
9,0.09050197899341583,0.9716583490371704,0.7794675230979919,0.7580398321151733
