,fold_number,acc,sen,pre,f1,spe
0,1,0.7388973966309341,0.5164981377166251,0.6529359266683963,0.4338183694409748,0.8245885357445496
1,2,0.9127105666156202,0.7922671261487051,0.8830003415126115,0.8162570354803169,0.9366404513272026
2,3,0.9065849923430321,0.8183396736522952,0.8202389898967193,0.8027969199998483,0.938806034334334
3,4,0.9318529862174578,0.8805707303047728,0.8651156024543117,0.8551565444324075,0.9579576785221946
4,5,0.9539877300613497,0.9187556832543833,0.9032423627758313,0.9007925856532726,0.9718442059568047
